application_mix,app_mix_label,policy,app_mix_str,num_apps,total_edges,total_nodes,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags,avg_deadline_difference,max_deadline_difference,min_deadline_difference,median_deadline_difference,avg_slowdown,max_slowdown,min_slowdown,median_slowdown,slowdown_p25,slowdown_p75
canny-gru-harris,CGH,GEDF_D,canny_1_deblur_0_gru_1_harris_1_lstm_0_,3,185,150,9334446875.0,0.009334,14797331250.0,29125.2,6954047.0,4.32178,0.231386,1829388739.0,3,150,100.0,100.0,82,67,15,44.32432432432433,36.21621621621622,150,-7310.666666666667,-2994.0,-11605.0,-7333.0,0.49649757504849906,0.62575,0.3037139257214856,0.5600287994240115,0.43187136257274855,0.5928893997120057
canny-gru-harris,CGH,GEDF_N,canny_1_deblur_0_gru_1_harris_1_lstm_0_,3,185,150,9236771875.0,0.009237,14699606250.0,28498.02,6961137.0,4.325085,0.231209,1955160552.0,3,150,100.0,100.0,75,59,16,40.54054054054054,31.891891891891895,150,-7274.666666666667,-2829.0,-11564.0,-7431.0,0.502232597848043,0.646375,0.3061738765224695,0.5541489170216596,0.43016139677206455,0.6002619585108298
canny-gru-harris,CGH,LAX,canny_1_deblur_0_gru_1_harris_1_lstm_0_,3,185,150,9240245625.0,0.00924,14704443125.0,25642.34,7255877.0,2.484468,0.402501,1805629491.0,3,150,100.0,100.0,89,73,16,48.10810810810811,39.45945945945946,150,-7312.666666666667,-2939.0,-11571.0,-7428.0,0.4975692661146777,0.632625,0.30575388492230154,0.5543289134217315,0.43004139917201656,0.5934769567108658
canny-gru-harris,CGH,ELFD,canny_1_deblur_0_gru_1_harris_1_lstm_0_,3,185,150,9338513750.0,0.009339,14801841250.0,22847.12,6954767.0,4.338521,0.230493,1842655101.0,3,150,100.0,100.0,82,64,18,44.32432432432433,34.5945945945946,150,-7245.333333333333,-2805.0,-11602.0,-7329.0,0.504512572248555,0.649375,0.3038939221215576,0.5602687946241075,0.43208135837283257,0.6048218973120538
canny-gru-harris,CGH,LL,canny_1_deblur_0_gru_1_harris_1_lstm_0_,3,185,150,9249877500.0,0.00925,15059637500.0,13693.22,7021954.0,3.715585,0.269137,1952452668.0,3,150,100.0,100.0,11,3,8,5.9459459459459465,1.6216216216216217,150,-7256.0,-2800.0,-11550.0,-7418.0,0.5039809203815924,0.65,0.30701385972280554,0.5549289014219716,0.4309713805723886,0.6024644507109858
canny-gru-harris,CGH,HetSched,canny_1_deblur_0_gru_1_harris_1_lstm_0_,3,185,150,9199878750.0,0.0092,14930498125.0,23371.91,6988886.0,3.542655,0.282274,1293635745.0,3,150,100.0,100.0,18,4,14,9.72972972972973,2.1621621621621623,150,-7874.666666666667,-3594.0,-12562.0,-7468.0,0.4496580118397632,0.5519289614207716,0.24629507409851803,0.55075,0.398522537049259,0.5513394807103857
canny-gru-harris,CGH,ELF,canny_1_deblur_0_gru_1_harris_1_lstm_0_,3,185,150,9783060000.0,0.009783,15247035000.0,25950.61,7158280.0,2.5992,0.384734,1196194647.0,3,150,100.0,100.0,130,110,20,70.27027027027027,59.45945945945946,150,-6209.666666666667,-3648.0,-8097.0,-6884.0,0.5483859922801545,0.5869682606347874,0.5141897162056759,0.544,0.529094858102838,0.5654841303173936
canny-gru-lstm,CGL,FCFS,canny_1_deblur_0_gru_1_harris_0_lstm_1_,3,337,276,11002311250.0,0.011002,22010001250.0,48289.59,13843771.0,4.549034,0.219827,4246803689.0,1,118,33.333333333333336,42.7536231884058,25,19,6,7.418397626112759,5.637982195845697,276,-1812.6666666666667,4002.0,-12379.0,2939.0,1.0416332848343035,1.50025,0.25727485450290993,1.367375,0.812324927251455,1.4338125000000002
canny-gru-lstm,CGL,GEDF_D,canny_1_deblur_0_gru_1_harris_0_lstm_1_,3,337,276,11634113125.0,0.011634,22642151250.0,48056.52,13861434.0,4.431525,0.225656,3993793038.0,1,126,33.333333333333336,45.65217391304348,27,21,6,8.011869436201781,6.231454005934718,276,522.0,3832.0,-5033.0,2767.0,1.1743003464930701,1.479,0.6980260394792104,1.345875,1.021950519739605,1.4124375
canny-gru-lstm,CGL,GEDF_N,canny_1_deblur_0_gru_1_harris_0_lstm_1_,3,337,276,11640711875.0,0.011641,22648750000.0,48658.71,13866208.0,4.391046,0.227736,3991468606.0,1,136,33.333333333333336,49.27536231884058,28,21,7,8.30860534124629,6.231454005934718,276,859.6666666666666,3826.0,-5027.0,3780.0,1.2163786774264516,1.47825,0.6983860322793544,1.4725,1.085443016139677,1.475375
