application,app_instance_count,policy,app_mix_str,num_edges,num_nodes,deadline,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags
deblur,3,FCFS,canny_0_deblur_3_gru_0_harris_0_lstm_0_,30,22,16667,50244941875.0,0.050245,52914845000.0,20295.74,1420364.0,4.360895,0.229311,77484576.0,0,8,0,36.36363636363637,27,0,27,90.0,0.0,75
deblur,3,GEDF_D,canny_0_deblur_3_gru_0_harris_0_lstm_0_,30,22,16667,50236740625.0,0.050237,52907125000.0,20277.51,1421447.0,4.356022,0.229567,77497225.0,0,8,0,36.36363636363637,27,0,27,90.0,0.0,75
deblur,3,GEDF_N,canny_0_deblur_3_gru_0_harris_0_lstm_0_,30,22,16667,50239985625.0,0.05024,52910370000.0,20364.69,1421447.0,4.35622,0.229557,77492220.0,0,8,0,36.36363636363637,27,0,27,90.0,0.0,75
deblur,3,LAX,canny_0_deblur_3_gru_0_harris_0_lstm_0_,30,22,16667,50290125000.0,0.05029,52961615000.0,20294.36,1598621.0,2.524491,0.396119,77423868.0,0,8,0,36.36363636363637,27,0,27,90.0,0.0,75
deblur,3,HetSched,canny_0_deblur_3_gru_0_harris_0_lstm_0_,30,22,16667,50236629375.0,0.050237,52907512500.0,19797.14,1446695.0,3.882628,0.257558,78784107.0,0,8,0,36.36363636363637,27,0,27,90.0,0.0,75
deblur,3,ELF,canny_0_deblur_3_gru_0_harris_0_lstm_0_,30,22,16667,50289112500.0,0.050289,52961275000.0,20351.08,1594467.0,2.593225,0.38562,77435608.0,0,8,0,36.36363636363637,27,0,27,90.0,0.0,75
gru,1,FCFS,canny_0_deblur_0_gru_1_harris_0_lstm_0_,149,120,8000,3733289375.0,0.003733,9131101875.0,22512.2,6710234.0,3.86192,0.258939,2129047926.0,1,120,100.0,100.0,119,96,23,79.86577181208054,64.42953020134227,120
gru,1,GEDF_D,canny_0_deblur_0_gru_1_harris_0_lstm_0_,149,120,8000,3727684375.0,0.003728,9125721875.0,22255.83,6710691.0,3.852613,0.259564,2132317868.0,1,120,100.0,100.0,119,96,23,79.86577181208054,64.42953020134227,120
gru,1,GEDF_N,canny_0_deblur_0_gru_1_harris_0_lstm_0_,149,120,8000,3253389375.0,0.003253,8651426875.0,27625.0,6709312.0,3.834124,0.260816,2141018857.0,1,120,100.0,100.0,134,102,32,89.93288590604027,68.45637583892618,120
gru,1,LAX,canny_0_deblur_0_gru_1_harris_0_lstm_0_,149,120,8000,3357655625.0,0.003358,8756358125.0,26426.3,6873761.0,2.760835,0.362209,2074876276.0,1,120,100.0,100.0,134,102,32,89.93288590604027,68.45637583892618,120
gru,1,HetSched,canny_0_deblur_0_gru_1_harris_0_lstm_0_,149,120,8000,3373702500.0,0.003374,8772285000.0,27970.11,6748752.0,3.375919,0.296216,2064798541.0,1,120,100.0,100.0,134,100,34,89.93288590604027,67.11409395973155,120
gru,1,ELF,canny_0_deblur_0_gru_1_harris_0_lstm_0_,149,120,8000,3363698750.0,0.003364,8762358125.0,26885.1,6867066.0,2.820802,0.354509,2070901266.0,1,120,100.0,100.0,134,102,32,89.93288590604027,68.45637583892618,120
gru,2,FCFS,canny_0_deblur_0_gru_2_harris_0_lstm_0_,149,120,8000,50011492500.0,0.050011,253628761875.0,286539.93,256753332.0,4.180374,0.239213,4144551375.0,7,892,700.0,743.3333333333334,64,33,31,42.95302013422819,22.14765100671141,1597
gru,2,GEDF_D,canny_0_deblur_0_gru_2_harris_0_lstm_0_,149,120,8000,50011078125.0,0.050011,253628113125.0,293559.46,256865672.0,4.123815,0.242494,4090021165.0,6,1074,600.0,895.0,67,47,20,44.966442953020135,31.543624161073826,1683
gru,2,GEDF_N,canny_0_deblur_0_gru_2_harris_0_lstm_0_,149,120,8000,,,,,,,,,0,0,0,0.0,0,0,0,0.0,0.0,1239
gru,2,LAX,canny_0_deblur_0_gru_2_harris_0_lstm_0_,149,120,8000,,,,,,,,,0,0,0,0.0,0,0,0,0.0,0.0,915
gru,2,HetSched,canny_0_deblur_0_gru_2_harris_0_lstm_0_,149,120,8000,,,,,,,,,0,0,0,0.0,0,0,0,0.0,0.0,1022
gru,2,ELF,canny_0_deblur_0_gru_2_harris_0_lstm_0_,149,120,8000,,,,,,,,,0,0,0,0.0,0,0,0,0.0,0.0,1201
gru,3,FCFS,canny_0_deblur_0_gru_3_harris_0_lstm_0_,149,120,8000,50006920000.0,0.050007,355386429375.0,250103.75,383349048.0,4.279689,0.233662,4486320533.0,0,97,0,80.83333333333333,38,0,38,25.503355704697988,0.0,1337
gru,3,GEDF_D,canny_0_deblur_0_gru_3_harris_0_lstm_0_,149,120,8000,50002810000.0,0.050003,355383494375.0,251380.66,383385647.0,4.227451,0.236549,4469324504.0,0,97,0,80.83333333333333,33,4,29,22.14765100671141,2.684563758389262,1343
gru,3,GEDF_N,canny_0_deblur_0_gru_3_harris_0_lstm_0_,149,120,8000,50001638750.0,0.050002,355382323125.0,258693.62,383473308.0,4.180744,0.239192,4520028496.0,0,103,0,85.83333333333333,18,1,17,12.080536912751679,0.6711409395973155,1398
gru,3,LAX,canny_0_deblur_0_gru_3_harris_0_lstm_0_,149,120,8000,50000910625.0,0.050001,355383585000.0,245679.36,386965285.0,2.443449,0.409258,4367427658.0,0,112,0,93.33333333333333,25,0,25,16.778523489932887,0.0,1310
gru,3,HetSched,canny_0_deblur_0_gru_3_harris_0_lstm_0_,149,120,8000,50008501875.0,0.050009,355392385000.0,332234.43,384739648.0,3.449959,0.289858,3921237883.0,0,257,0,214.16666666666666,99,96,3,66.44295302013423,64.42953020134227,2121
gru,3,ELF,canny_0_deblur_0_gru_3_harris_0_lstm_0_,149,120,8000,50004570625.0,0.050005,355387175000.0,338358.03,387241455.0,2.609565,0.383206,3574112961.0,0,311,0,259.1666666666667,103,96,7,69.12751677852349,64.42953020134227,2186
harris,1,FCFS,canny_0_deblur_0_gru_0_harris_1_lstm_0_,22,18,16667,6425282500.0,0.006425,6660046875.0,3556.85,146498.0,4.518715,0.221302,138044047.0,1,18,100.0,100.0,17,3,14,77.27272727272727,13.636363636363635,18
harris,1,GEDF_D,canny_0_deblur_0_gru_0_harris_1_lstm_0_,22,18,16667,6424882500.0,0.006425,6659696875.0,3439.46,146651.0,4.512893,0.221587,138062603.0,1,18,100.0,100.0,17,3,14,77.27272727272727,13.636363636363635,18
harris,1,GEDF_N,canny_0_deblur_0_gru_0_harris_1_lstm_0_,22,18,16667,6298127500.0,0.006298,6532941875.0,3640.69,146333.0,4.515059,0.221481,130435594.0,1,18,100.0,100.0,18,4,14,81.81818181818183,18.181818181818183,18
harris,1,LAX,canny_0_deblur_0_gru_0_harris_1_lstm_0_,22,18,16667,6314908125.0,0.006315,6550483125.0,3556.28,180885.0,3.171937,0.315265,130088987.0,1,18,100.0,100.0,18,4,14,81.81818181818183,18.181818181818183,18
harris,1,HetSched,canny_0_deblur_0_gru_0_harris_1_lstm_0_,22,18,16667,6305090625.0,0.006305,6540515000.0,3723.82,152135.0,4.160145,0.240376,130291545.0,1,18,100.0,100.0,18,4,14,81.81818181818183,18.181818181818183,18
harris,1,ELF,canny_0_deblur_0_gru_0_harris_1_lstm_0_,22,18,16667,6319683750.0,0.00632,6555258125.0,3712.76,179705.0,3.2469,0.307986,130031190.0,1,18,100.0,100.0,18,4,14,81.81818181818183,18.181818181818183,18
harris,2,FCFS,canny_0_deblur_0_gru_0_harris_2_lstm_0_,22,18,16667,50389941875.0,0.05039,59469714375.0,31343.24,4772119.0,4.246237,0.235503,173194326.0,8,144,800.0,800.0,15,3,12,68.18181818181817,13.636363636363635,153
harris,2,GEDF_D,canny_0_deblur_0_gru_0_harris_2_lstm_0_,22,18,16667,50390895000.0,0.050391,59471829375.0,31588.27,4774202.0,4.23501,0.236127,173191050.0,8,144,800.0,800.0,15,3,12,68.18181818181817,13.636363636363635,153
harris,2,GEDF_N,canny_0_deblur_0_gru_0_harris_2_lstm_0_,22,18,16667,50329350625.0,0.050329,59410285000.0,33593.95,4774237.0,4.214377,0.237283,173349425.0,8,144,800.0,800.0,16,4,12,72.72727272727273,18.181818181818183,153
harris,2,LAX,canny_0_deblur_0_gru_0_harris_2_lstm_0_,22,18,16667,50422978750.0,0.050423,59505248750.0,32875.55,5075842.0,2.591776,0.385836,157500651.0,8,144,800.0,800.0,17,4,13,77.27272727272727,18.181818181818183,153
harris,2,HetSched,canny_0_deblur_0_gru_0_harris_2_lstm_0_,22,18,16667,50339241875.0,0.050339,59421290000.0,33305.37,4825480.0,3.739153,0.26744,173329349.0,8,144,800.0,800.0,16,4,12,72.72727272727273,18.181818181818183,153
