experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,memory_bandwidth,arbitration_type,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
94,2025-12-02 09:14:30,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_N,mixed_1rx_1tx,"[[1,1]]",[],5280,min,209.5,1.5,2,419.0,11736,29404,10360,1,1,0.79,322.0,2,0,28,39,0,0.002438
95,2025-12-02 09:14:31,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_N,mixed_2rx_1tx,"[[2,1]]",[],5280,min,239.0,1.33,3,717.0,18040,43280,20600,2,1,2.83,625.0,3,0,42,62,0,0.004523
96,2025-12-02 09:14:32,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_N,mixed_1rx_2tx,"[[1,2]]",[],5280,min,164.0,1.33,3,492.0,19240,42860,10480,2,1,1.11,400.0,3,0,41,56,0,0.002786
97,2025-12-02 09:14:32,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_N,mixed_2rx_2tx,"[[2,2]]",[],5280,min,197.75,1.5,4,791.0,24168,58112,20720,3,1,3.3,678.0,4,0,52,82,0,0.00486
98,2025-12-02 09:14:33,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_N,mixed_3rx_3tx,"[[3,3]]",[],5280,min,251.166667,1.83,6,1507.0,38268,85152,31080,2,4,6.89,952.0,6,0,86,115,0,0.007242
99,2025-12-02 09:14:33,SoC.COMM_a1_A3_m1_f3_v3.txt,HetSched,single_tx,"[[0,1]]",[],5280,min,86.0,1.0,1,86.0,7760,13200,120,1,0,0.03,86.0,1,0,14,16,0,0.000353
100,2025-12-02 09:14:34,SoC.COMM_a1_A3_m1_f3_v3.txt,HetSched,single_rx,"[[1,0]]",[],5280,min,302.0,1.0,1,302.0,6352,13828,10240,1,0,0.64,302.0,1,0,15,22,0,0.002105
101,2025-12-02 09:14:35,SoC.COMM_a1_A3_m1_f3_v3.txt,HetSched,mixed_1rx_1tx,"[[1,1]]",[],5280,min,213.0,1.5,2,426.0,12992,28148,10360,1,1,0.76,313.0,2,0,27,40,0,0.002437
102,2025-12-02 09:14:35,SoC.COMM_a1_A3_m1_f3_v3.txt,HetSched,mixed_2rx_1tx,"[[2,1]]",[],5280,min,242.666667,1.33,3,728.0,19344,41976,20600,2,1,2.85,629.0,3,0,42,62,0,0.004526
103,2025-12-02 09:14:36,SoC.COMM_a1_A3_m1_f3_v3.txt,HetSched,mixed_1rx_2tx,"[[1,2]]",[],5280,min,170.666667,1.33,3,512.0,20752,41348,10480,2,1,1.15,413.0,3,0,41,56,0,0.00279
104,2025-12-02 09:14:36,SoC.COMM_a1_A3_m1_f3_v3.txt,HetSched,mixed_2rx_2tx,"[[2,2]]",[],5280,min,203.5,1.5,4,814.0,23660,58620,20720,3,1,3.32,683.0,4,0,56,78,0,0.004867
