experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
34,2025-12-02 18:58:01,SoC.i1_g4_cv1_h1_e1_c1_el1.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
35,2025-12-02 18:58:02,SoC.i1_g4_cv1_h1_e1_c1_el1.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],2258.0,1.0,1,2258.0,4587520,0,9568256,1,0,1.14,2258.0,1,16000,0,70,0,0,0.000503
36,2025-12-02 18:58:02,SoC.i1_g4_cv1_h1_e1_c1_el1.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],8824.01,1.0,1,8824.01,131072,638976,672636,1,0,18.47,8824.01,1,16000,0,2,10,0,0.002093
37,2025-12-02 18:58:03,SoC.i1_g4_cv1_h1_e1_c1_el1.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],3024.0,1.0,1,3024.0,2555904,0,13697024,1,0,1.98,3024.0,1,16000,0,39,0,0,0.000654
38,2025-12-02 18:58:04,SoC.i1_g4_cv1_h1_e1_c1_el1.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],15587.3876,3.0,5,77936.94,3604480,1884160,29314072,1,4,251.9,31323.0,5,16000,0,55,29,0,0.008042
39,2025-12-02 18:58:05,SoC.i1_g4_cv1_h1_e1_c1_el1.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],40529.812667,3.5,6,243178.88,655360,2490368,5642288,1,5,1259.69,72959.0,6,16000,0,10,39,0,0.017266
40,2025-12-02 18:58:06,SoC.i1_g4_cv1_h1_e1_c1_el1.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],10888.25,2.5,4,43553.0,4456448,0,56360960,0,4,29.77,11810.0,4,16000,0,68,0,0,0.002521
41,2025-12-02 18:58:07,SoC.i1_g1_cv4_h1_e1_c1_el1.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],4232.928,1.0,1,4232.93,196608,507904,213680,1,0,4.49,4232.93,1,16000,0,3,8,0,0.00106
42,2025-12-02 18:58:07,SoC.i1_g1_cv4_h1_e1_c1_el1.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
43,2025-12-02 18:58:08,SoC.i1_g1_cv4_h1_e1_c1_el1.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],2258.0,1.0,1,2258.0,4587520,0,9568256,1,0,1.14,2258.0,1,16000,0,70,0,0,0.000503
44,2025-12-02 18:58:09,SoC.i1_g1_cv4_h1_e1_c1_el1.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],5133.01,1.0,1,5133.01,131072,901120,410492,1,0,7.57,5133.01,1,16000,0,2,14,0,0.001476
45,2025-12-02 18:58:09,SoC.i1_g1_cv4_h1_e1_c1_el1.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],3024.0,1.0,1,3024.0,2555904,0,13697024,1,0,1.98,3024.0,1,16000,0,39,0,0,0.000654
46,2025-12-02 18:58:10,SoC.i1_g1_cv4_h1_e1_c1_el1.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],9163.1876,3.0,5,45815.94,3342336,2146304,29314072,2,3,118.76,19559.0,5,16000,0,51,33,0,0.006072
47,2025-12-02 18:58:11,SoC.i1_g1_cv4_h1_e1_c1_el1.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],10939.146,3.5,6,65634.88,262144,3801088,4724784,4,2,176.15,20685.0,6,16000,0,4,59,0,0.008516
48,2025-12-02 18:58:12,SoC.i1_g1_cv4_h1_e1_c1_el1.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],10888.25,2.5,4,43553.0,4456448,0,56360960,0,4,29.77,11810.0,4,16000,0,68,0,0,0.002521
49,2025-12-02 18:58:12,SoC.i1_g1_cv1_h4_e1_c1_el1.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],3550.928,1.0,1,3550.93,196608,507904,213680,1,0,3.36,3550.93,1,16000,0,3,8,0,0.000946
50,2025-12-02 18:58:13,SoC.i1_g1_cv1_h4_e1_c1_el1.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
51,2025-12-02 18:58:13,SoC.i1_g1_cv1_h4_e1_c1_el1.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],2258.0,1.0,1,2258.0,4587520,0,9568256,1,0,1.14,2258.0,1,16000,0,70,0,0,0.000503
52,2025-12-02 18:58:14,SoC.i1_g1_cv1_h4_e1_c1_el1.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],8824.01,1.0,1,8824.01,131072,638976,672636,1,0,18.47,8824.01,1,16000,0,2,10,0,0.002093
53,2025-12-02 18:58:15,SoC.i1_g1_cv1_h4_e1_c1_el1.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],3024.0,1.0,1,3024.0,2555904,0,13697024,1,0,1.98,3024.0,1,16000,0,39,0,0,0.000654
54,2025-12-02 18:58:16,SoC.i1_g1_cv1_h4_e1_c1_el1.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],15411.7876,3.0,5,77058.94,3604480,1490944,29707288,1,4,248.44,31061.0,5,16000,0,55,23,0,0.007998
55,2025-12-02 18:58:17,SoC.i1_g1_cv1_h4_e1_c1_el1.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],40529.812667,3.5,6,243178.88,655360,2490368,5642288,1,5,1259.69,72959.0,6,16000,0,10,39,0,0.017266
56,2025-12-02 18:58:18,SoC.i1_g1_cv1_h4_e1_c1_el1.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],10888.25,2.5,4,43553.0,4456448,0,56360960,0,4,29.77,11810.0,4,16000,0,68,0,0,0.002521
57,2025-12-02 18:58:18,SoC.i1_g1_cv1_h1_e4_c1_el1.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],3550.928,1.0,1,3550.93,196608,507904,213680,1,0,3.36,3550.93,1,16000,0,3,8,0,0.000946
58,2025-12-02 18:58:19,SoC.i1_g1_cv1_h1_e4_c1_el1.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
59,2025-12-02 18:58:20,SoC.i1_g1_cv1_h1_e4_c1_el1.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],2258.0,1.0,1,2258.0,4587520,0,9568256,1,0,1.14,2258.0,1,16000,0,70,0,0,0.000503
60,2025-12-02 18:58:20,SoC.i1_g1_cv1_h1_e4_c1_el1.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],8824.01,1.0,1,8824.01,131072,638976,672636,1,0,18.47,8824.01,1,16000,0,2,10,0,0.002093
61,2025-12-02 18:58:21,SoC.i1_g1_cv1_h1_e4_c1_el1.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],3024.0,1.0,1,3024.0,2555904,0,13697024,1,0,1.98,3024.0,1,16000,0,39,0,0,0.000654
62,2025-12-02 18:58:22,SoC.i1_g1_cv1_h1_e4_c1_el1.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],15411.7876,3.0,5,77058.94,3604480,1490944,29707288,1,4,248.44,31061.0,5,16000,0,55,23,0,0.007998
63,2025-12-02 18:58:23,SoC.i1_g1_cv1_h1_e4_c1_el1.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],40529.812667,3.5,6,243178.88,655360,2490368,5642288,1,5,1259.69,72959.0,6,16000,0,10,39,0,0.017266
64,2025-12-02 18:58:24,SoC.i1_g1_cv1_h1_e4_c1_el1.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],10888.25,2.5,4,43553.0,4456448,0,56360960,0,4,29.77,11810.0,4,16000,0,68,0,0,0.002521
65,2025-12-02 18:58:25,SoC.i1_g1_cv1_h1_e1_c4_el1.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],3550.928,1.0,1,3550.93,196608,507904,213680,1,0,3.36,3550.93,1,16000,0,3,8,0,0.000946
66,2025-12-02 18:58:25,SoC.i1_g1_cv1_h1_e1_c4_el1.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
67,2025-12-02 18:58:26,SoC.i1_g1_cv1_h1_e1_c4_el1.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],2258.0,1.0,1,2258.0,4587520,0,9568256,1,0,1.14,2258.0,1,16000,0,70,0,0,0.000503
68,2025-12-02 18:58:27,SoC.i1_g1_cv1_h1_e1_c4_el1.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],8824.01,1.0,1,8824.01,131072,638976,672636,1,0,18.47,8824.01,1,16000,0,2,10,0,0.002093
69,2025-12-02 18:58:27,SoC.i1_g1_cv1_h1_e1_c4_el1.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],3024.0,1.0,1,3024.0,2555904,0,13697024,1,0,1.98,3024.0,1,16000,0,39,0,0,0.000654
70,2025-12-02 18:58:28,SoC.i1_g1_cv1_h1_e1_c4_el1.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],15411.7876,3.0,5,77058.94,3604480,1490944,29707288,1,4,248.44,31061.0,5,16000,0,55,23,0,0.007998
71,2025-12-02 18:58:30,SoC.i1_g1_cv1_h1_e1_c4_el1.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],40529.812667,3.5,6,243178.88,655360,2490368,5642288,1,5,1259.69,72959.0,6,16000,0,10,39,0,0.017266
72,2025-12-02 18:58:30,SoC.i1_g1_cv1_h1_e1_c4_el1.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],10888.25,2.5,4,43553.0,4456448,0,56360960,0,4,29.77,11810.0,4,16000,0,68,0,0,0.002521
73,2025-12-02 18:58:31,SoC.i1_g1_cv1_h1_e1_c1_el4.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],3545.928,1.0,1,3545.93,131072,573440,213680,1,0,3.35,3545.93,1,16000,0,2,9,0,0.000944
74,2025-12-02 18:58:32,SoC.i1_g1_cv1_h1_e1_c1_el4.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
75,2025-12-02 18:58:32,SoC.i1_g1_cv1_h1_e1_c1_el4.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],2837.0,1.0,1,2837.0,6750208,1441792,5963776,1,0,1.7,2837.0,1,16000,0,103,22,0,0.0006
76,2025-12-02 18:58:33,SoC.i1_g1_cv1_h1_e1_c1_el4.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],6702.01,1.0,1,6702.01,196608,638976,607100,1,0,11.65,6702.01,1,16000,0,3,10,0,0.001738
77,2025-12-02 18:58:33,SoC.i1_g1_cv1_h1_e1_c1_el4.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],1474.0,1.0,1,1474.0,7340032,3407872,5505024,1,0,0.58,1474.0,1,16000,0,112,52,0,0.000394
78,2025-12-02 18:58:34,SoC.i1_g1_cv1_h1_e1_c1_el4.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],15158.3876,3.0,5,75791.94,12451840,5390336,16960536,1,4,228.77,29542.0,5,16000,0,190,83,0,0.007744
79,2025-12-02 18:58:36,SoC.i1_g1_cv1_h1_e1_c1_el4.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],42264.312667,3.5,6,253585.88,720896,3014656,5052464,0,6,1310.22,74655.0,6,16000,0,11,47,0,0.01755
80,2025-12-02 18:58:38,SoC.i1_g1_cv1_h1_e1_c1_el4.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],52154.25,2.5,4,208617.0,10420224,2752512,47644672,0,4,506.23,53391.0,4,16000,0,159,42,0,0.009482
