experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,task_runtime_variance,time_moving_memory,total_energy
37,2025-12-04 14:33:30,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_lstm,"[[0,0,0,0,1]]",[],4289.0,1.0,1,4289.0,5701632,0,10551296,1,0,3.72,4289.0,1,5280,0,87,0,,0,0.000866
38,2025-12-04 14:33:31,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,mixed_balanced,"[[1,1,1,1,1]]",[],13110.8,2.8,5,65554.0,13172736,1163264,20466712,3,2,199.17,27074.0,5,5280,0,201,18,86260336,0,0.007356
39,2025-12-04 14:33:32,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,mixed_vision_heavy,"[[2,2,0,2,0]]",[],27504.166667,3.0,6,165025.0,720896,2375680,5691440,1,5,811.74,55914.0,6,5280,0,11,37,299396645,0,0.014518
40,2025-12-04 14:33:33,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,mixed_ml_heavy,"[[0,0,2,0,2]]",[],8905.25,2.5,4,35621.0,25493504,0,35323904,2,2,43.15,14514.0,4,5280,0,389,0,21913063,0,0.002973
41,2025-12-04 14:33:33,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],4085.0,1.0,1,4085.0,262144,507904,148144,1,0,4.41,4085.0,1,5280,0,4,8,,0,0.00108
42,2025-12-04 14:33:34,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
43,2025-12-04 14:33:35,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],3590.0,1.0,1,3590.0,5636096,0,8519680,1,0,2.62,3590.0,1,5280,0,86,0,,0,0.000729
44,2025-12-04 14:33:35,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],7120.0,1.0,1,7120.0,262144,638976,541564,1,0,13.14,7120.0,1,5280,0,4,10,,0,0.001846
45,2025-12-04 14:33:36,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],5037.0,1.0,1,5037.0,4128768,0,12124160,1,0,4.99,5037.0,1,5280,0,63,0,,0,0.000991
46,2025-12-04 14:33:37,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],12023.0,2.8,5,60115.0,9764864,1490944,23546904,4,1,181.52,25700.0,5,5280,0,149,23,56031877,0,0.007063
47,2025-12-04 14:33:38,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],25343.833333,3.0,6,152063.0,917504,2179072,5691440,2,4,755.82,53740.0,6,5280,0,14,34,365727176,0,0.014064
