app_mix_label,app_mix_list,app_mix_str,application,application_mix,avg_deadline_difference,avg_slowdown,dag_deadlines_met,deadline,final_tick,forwards_only,host_seconds,max_deadline_difference,max_slowdown,median_deadline_difference,median_slowdown,mem_ctrls.bw_total::total,min_deadline_difference,min_slowdown,node_deadlines_met,num_apps,num_colocations,num_edges,num_forwards,num_nodes,percent_colocations,percent_dag_deadlines_met,percent_forwards,percent_node_deadlines_met,policy,sim_insts,sim_seconds,sim_ticks,slowdown_p25,slowdown_p75,system.cpu.cpi,system.cpu.ipc,total_dags,total_edges,total_nodes
CD,"[1, 1, 0, 0, 0]",canny_1_deblur_1_gru_0_harris_0_lstm_0_,,canny-deblur,,,1,,19234735000.0,31,10242.5,,,,,79246996.0,,,14,2,4,,35,,9.090909090909092,50.0,79.54545454545455,41.1764705882353,GEDF_D,221620.0,0.018897999999999998,18898230625.0,,,4.617084999999999,0.216587,34,44.0,34.0
CD,"[1, 1, 0, 0, 0]",canny_1_deblur_1_gru_0_harris_0_lstm_0_,,canny-deblur,,,1,,19178860000.0,33,10367.4,,,,,89909592.0,,,16,2,2,,35,,4.545454545454546,50.0,79.54545454545455,47.058823529411775,GEDF_N,223257.0,0.018841999999999998,18842350000.0,,,4.6626970000000005,0.214468,34,44.0,34.0
CD,"[1, 1, 0, 0, 0]",canny_1_deblur_1_gru_0_harris_0_lstm_0_,,canny-deblur,,,1,,19234650000.0,32,7094.32,,,,,86186060.0,,,16,2,3,,35,,6.8181818181818175,50.0,79.54545454545455,47.058823529411775,LAX,295593.0,0.018897,18897487500.0,,,2.634816,0.379533,34,44.0,34.0
CD,"[1, 1, 0, 0, 0]",canny_1_deblur_1_gru_0_harris_0_lstm_0_,,canny-deblur,,,1,,19189611875.0,25,6185.48,,,,,86344279.0,,,16,2,0,,25,,0.0,50.0,56.81818181818182,47.058823529411775,HetSched,235933.0,0.018852,18852482500.0,,,4.011705,0.249271,34,44.0,34.0
CD,"[1, 1, 0, 0, 0]",canny_1_deblur_1_gru_0_harris_0_lstm_0_,,canny-deblur,,,1,,19254600000.0,34,7187.03,,,,,75722025.0,,,16,2,3,,37,,6.8181818181818175,50.0,84.0909090909091,47.058823529411775,ELF,289909.0,0.018918,18917560625.0,,,2.7377290000000003,0.365266,34,44.0,34.0
CG,"[1, 0, 1, 0, 0]",canny_1_deblur_0_gru_1_harris_0_lstm_0_,,canny-gru,,,2,,9493356250.0,6,24615.09,,,,,3802673574.0,,,132,2,61,,67,,37.42331288343559,100.0,41.104294478527606,100.0,FCFS,6808997.0,0.004255,4255258750.0,,,4.394058,0.22758,132,163.0,132.0
CG,"[1, 0, 1, 0, 0]",canny_1_deblur_0_gru_1_harris_0_lstm_0_,,canny-gru,,,2,,10079011875.0,6,24692.36,,,,,3180169449.0,,,132,2,67,,73,,41.104294478527606,100.0,44.785276073619634,100.0,GEDF_D,6809830.0,0.004841,4840914375.0,,,4.297269,0.232706,132,163.0,132.0
CG,"[1, 0, 1, 0, 0]",canny_1_deblur_0_gru_1_harris_0_lstm_0_,,canny-gru,,,2,,10247301250.0,7,24617.68,,,,,3295715811.0,,,132,2,58,,65,,35.58282208588957,100.0,39.87730061349693,100.0,GEDF_N,6817431.0,0.005009,5009203750.0,,,4.30512,0.23228200000000002,132,163.0,132.0
CG,"[1, 0, 1, 0, 0]",canny_1_deblur_0_gru_1_harris_0_lstm_0_,,canny-gru,,,2,,10196811250.0,7,16291.93,,,,,3052658027.0,,,132,2,72,,79,,44.171779141104295,100.0,48.466257668711656,100.0,LAX,7070822.0,0.004958,4957541875.0,,,2.492966,0.401129,132,163.0,132.0
CG,"[1, 0, 1, 0, 0]",canny_1_deblur_0_gru_1_harris_0_lstm_0_,,canny-gru,,,2,,9619444375.0,0,16275.21,,,,,2658157342.0,,,132,2,102,,102,,62.57668711656443,100.0,62.57668711656443,100.0,HetSched,6839255.0,0.004116,4115759375.0,,,3.497635,0.285908,132,163.0,132.0
